Date, Total current assets, Total assets, Total current liabilities, Total liabilities, Total shareholder's equity,Total shares outstanding (common shares), Dividend, Net income,Debt Equity,Current Ratio,EPS,Book Value
 13/05/2010,589224000.000,4309745000.000,147052000.000,1504612000.000,2805133000.000,156724247.000,0.180,22332000.000,0.536,4.007,0.348,17.899
 12/08/2010,652012000.000,4494772000.000,192810000.000,1545233000.000,2949539000.000,157031357.000,0.180,100360000.000,0.524,3.382,0.909,18.783
 12/11/2010,613677000.000,5511972000.000,232978000.000,1897342000.000,3614630000.000,167709460.000,0.180,121461000.000,0.525,2.634,1.741,21.553
 28/03/2011,674222000.000,5500351000.000,303311000.000,1834901000.000,3665450000.000,168720355.000,0.800,87963000.000,0.501,2.223,2.027,21.725
 12/05/2011,666581000.000,5523201000.000,271412000.000,1781738000.000,3741463000.000,168935816.000,0.800,45264000.000,0.476,2.456,2.153,22.147
 12/08/2011,727946000.000,5641656000.000,293807000.000,1814672000.000,3826984000.000,169141820.000,0.800,68825000.000,0.474,2.478,1.920,22.626
 09/11/2011,797534000.000,5544051000.000,355495000.000,1821287000.000,3722764000.000,186988915.000,0.800,-81614000.000,0.489,2.243,0.760,19.909
 28/03/2012,821580000.000,5034262000.000,254444000.000,1819099000.000,3215163000.000,170813736.000,0.800,-601370000.000,0.566,3.229,-3.282,18.823
 08/05/2012,767702000.000,4998423000.000,263912000.000,1746575000.000,3251848000.000,171194430.000,0.800,78548000.000,0.537,2.909,-3.091,18.995
 08/08/2012,8892000.000,5067550000.000,317849000.000,1793739000.000,3273811000.000,171443385.000,0.800,43272000.000,0.548,0.028,-3.246,19.096
 05/11/2012,953982000.000,5218625000.000,295961000.000,1828573000.000,3390052000.000,171812793.000,0.800,106326000.000,0.539,3.223,-2.191,19.731
 28/03/2013,903269000.000,5255842000.000,276668000.000,1845630000.000,3410212000.000,172296610.000,0.880,82770000.000,0.541,3.265,1.810,19.793
 10/05/2013,841719000.000,5250820000.000,238897000.000,1787439000.000,3463381000.000,172867524.000,0.880,23859000.000,0.516,3.523,1.490,20.035
 09/08/2013,730878000.000,5250800000.000,249316000.000,1833974000.000,3416826000.000,173311379.000,0.880,-24380000.000,0.537,2.932,1.097,19.715
 08/11/2013,852951000.000,5440070000.000,276145000.000,1980633000.000,3459437000.000,173730785.000,0.880,47311000.000,0.573,3.089,0.750,19.913
 26/03/2014,804831000.000,4959359000.000,210654000.000,1982210000.000,2977149000.000,174181163.000,0.320,-453316000.000,0.666,3.821,-2.333,17.092
 12/05/2014,835212000.000,4995126000.000,199519000.000,1889521000.000,3105605000.000,174449937.000,0.320,108852000.000,0.608,4.186,-1.847,17.802
 11/08/2014,904165000.000,6708478000.000,318306000.000,2418367000.000,4290111000.000,209689597.000,0.320,37676000.000,0.564,2.841,-1.527,20.459
 13/11/2014,912990000.000,6674869000.000,341579000.000,2705101000.000,3969768000.000,210091009.000,0.320,-15050000.000,0.681,2.673,-1.871,18.895
 25/03/2015,908060000.000,6840538000.000,328666000.000,2772048000.000,4068490000.000,215192887.000,0.320,-48508000.000,0.681,2.763,0.507,18.906
